id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
1,FFDP,1,61339,4.41E+07,719.0123,1616163600,1000,100000
2,FFDP,1,61339,4.41E+07,719.0123,1597399700,1000,100000
3,FFDP,1,61339,4.41E+07,719.0123,1412135200,1000,100000
4,FFDP,1,61339,4.41E+07,719.0123,1246314100,1000,100000
5,FFDP,1,61339,4.41E+07,719.0123,1259998600,1000,100000
6,FFDP,1,61339,4.41E+07,719.0123,1343575700,1000,100000
7,FFDP,1,61339,4.41E+07,719.0123,1282157000,1000,100000
8,FFDP,1,61339,4.41E+07,719.0123,1324305700,1000,100000
9,FFDP,1,61339,4.41E+07,719.0123,1364256400,1000,100000
10,FFDP,1,61339,4.41E+07,719.0123,1245338400,1000,100000
11,FFDP,1,61339,4.41E+07,719.0123,1240606200,1000,100000
12,FFDP,1,61339,4.41E+07,719.0123,1238783200,1000,100000
13,FFDP,1,61339,4.41E+07,719.0123,1247093100,1000,100000
14,FFDP,1,61339,4.41E+07,719.0123,1228813600,1000,100000
15,FFDP,1,61339,4.41E+07,719.0123,1256090300,1000,100000
16,FFDP,1,61339,4.41E+07,719.0123,1268915900,1000,100000
17,FFDP,1,61339,4.41E+07,719.0123,1285961900,1000,100000
18,FFDP,1,61339,4.41E+07,719.0123,1286340300,1000,100000
19,FFDP,1,61339,4.41E+07,719.0123,1305040700,1000,100000
20,FFDP,1,61339,4.41E+07,719.0123,1286306300,1000,100000
21,FFDP,1,61339,4.41E+07,719.0123,1335937400,1000,100000
22,FFDP,1,61339,4.41E+07,719.0123,1344729900,1000,100000
23,FFDP,1,61339,4.41E+07,719.0123,1348979300,1000,100000
24,FFDP,1,61339,4.41E+07,719.0123,1297171200,1000,100000
25,FFDP,1,61339,4.41E+07,719.0123,1322262700,1000,100000
26,FFDP,1,61339,4.41E+07,719.0123,1252194400,1000,100000
27,FFDP,1,61339,4.41E+07,719.0123,1292067100,1000,100000
28,FFDP,1,61339,4.41E+07,719.0123,1312981300,1000,100000
29,FFDP,1,61339,4.41E+07,719.0123,1280624100,1000,100000
30,FFDP,1,61339,4.41E+07,719.0123,1332096000,1000,100000
31,FFDP,2,61339,4.41E+07,719.0123,1326355800,1000,100000
32,FFDP,2,61339,4.41E+07,719.0123,1246895000,1000,100000
33,FFDP,2,61339,4.41E+07,719.0123,1287404600,1000,100000
34,FFDP,2,61339,4.41E+07,719.0123,1256118900,1000,100000
35,FFDP,2,61339,4.41E+07,719.0123,1283036700,1000,100000
36,FFDP,2,61339,4.41E+07,719.0123,1324993900,1000,100000
37,FFDP,2,61339,4.41E+07,719.0123,1304744500,1000,100000
38,FFDP,2,61339,4.41E+07,719.0123,1289980900,1000,100000
39,FFDP,2,61339,4.41E+07,719.0123,1263685400,1000,100000
40,FFDP,2,61339,4.41E+07,719.0123,1314719500,1000,100000
41,FFDP,2,61339,4.41E+07,719.0123,1303826200,1000,100000
42,FFDP,2,61339,4.41E+07,719.0123,1253518400,1000,100000
43,FFDP,2,61339,4.41E+07,719.0123,1345408000,1000,100000
44,FFDP,2,61339,4.41E+07,719.0123,1234042900,1000,100000
45,FFDP,2,61339,4.41E+07,719.0123,1274510800,1000,100000
46,FFDP,2,61339,4.41E+07,719.0123,1253730300,1000,100000
47,FFDP,2,61339,4.41E+07,719.0123,1255282300,1000,100000
48,FFDP,2,61339,4.41E+07,719.0123,1256541000,1000,100000
49,FFDP,2,61339,4.41E+07,719.0123,1246201900,1000,100000
50,FFDP,2,61339,4.41E+07,719.0123,1289781700,1000,100000
51,FFDP,2,61339,4.41E+07,719.0123,1342075300,1000,100000
52,FFDP,2,61339,4.41E+07,719.0123,1312116400,1000,100000
53,FFDP,2,61339,4.41E+07,719.0123,1290688100,1000,100000
54,FFDP,2,61339,4.41E+07,719.0123,1324630400,1000,100000
55,FFDP,2,61339,4.41E+07,719.0123,1288611700,1000,100000
56,FFDP,2,61339,4.41E+07,719.0123,1264827900,1000,100000
57,FFDP,2,61339,4.41E+07,719.0123,1285296100,1000,100000
58,FFDP,2,61339,4.41E+07,719.0123,1307006400,1000,100000
59,FFDP,2,61339,4.41E+07,719.0123,1380116800,1000,100000
60,FFDP,2,61339,4.41E+07,719.0123,1264622000,1000,100000
61,FFDP,3,61339,4.41E+07,719.0123,1262701700,1000,100000
62,FFDP,3,61339,4.41E+07,719.0123,1350754600,1000,100000
63,FFDP,3,61339,4.41E+07,719.0123,1304181200,1000,100000
64,FFDP,3,61339,4.41E+07,719.0123,1299397500,1000,100000
65,FFDP,3,61339,4.41E+07,719.0123,1283658200,1000,100000
66,FFDP,3,61339,4.41E+07,719.0123,1220112000,1000,100000
67,FFDP,3,61339,4.41E+07,719.0123,1216882400,1000,100000
68,FFDP,3,61339,4.41E+07,719.0123,1285836100,1000,100000
69,FFDP,3,61339,4.41E+07,719.0123,1284854600,1000,100000
70,FFDP,3,61339,4.41E+07,719.0123,1390453700,1000,100000
71,FFDP,3,61339,4.41E+07,719.0123,1263693000,1000,100000
72,FFDP,3,61339,4.41E+07,719.0123,1259803700,1000,100000
73,FFDP,3,61339,4.41E+07,719.0123,1234121700,1000,100000
74,FFDP,3,61339,4.41E+07,719.0123,1347119100,1000,100000
75,FFDP,3,61339,4.41E+07,719.0123,1325945300,1000,100000
76,FFDP,3,61339,4.41E+07,719.0123,1281204800,1000,100000
77,FFDP,3,61339,4.41E+07,719.0123,1293674600,1000,100000
78,FFDP,3,61339,4.41E+07,719.0123,1306931100,1000,100000
79,FFDP,3,61339,4.41E+07,719.0123,1244958600,1000,100000
80,FFDP,3,61339,4.41E+07,719.0123,1266137700,1000,100000
81,FFDP,3,61339,4.41E+07,719.0123,1244732900,1000,100000
82,FFDP,3,61339,4.41E+07,719.0123,1246510500,1000,100000
83,FFDP,3,61339,4.41E+07,719.0123,1265969500,1000,100000
84,FFDP,3,61339,4.41E+07,719.0123,1236683000,1000,100000
85,FFDP,3,61339,4.41E+07,719.0123,1300178500,1000,100000
86,FFDP,3,61339,4.41E+07,719.0123,1256852900,1000,100000
87,FFDP,3,61339,4.41E+07,719.0123,1297818200,1000,100000
88,FFDP,3,61339,4.41E+07,719.0123,1272362300,1000,100000
89,FFDP,3,61339,4.41E+07,719.0123,1277211600,1000,100000
90,FFDP,3,61339,4.41E+07,719.0123,1315139500,1000,100000
91,FFDP,4,61339,4.41E+07,719.0123,1292205600,1000,100000
92,FFDP,4,61339,4.41E+07,719.0123,1285840200,1000,100000
93,FFDP,4,61339,4.41E+07,719.0123,1290514200,1000,100000
