id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
-1,FFDP,1,61339,4.4103496E7,719.0123,1532168300,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1197924100,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1193566300,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1222969200,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1234469000,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1233381700,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1181646200,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1211614300,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1237352300,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1297732700,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1170119600,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1183703400,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1213458500,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1195498400,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1277972900,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1200701000,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1211240500,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1219958000,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1218154100,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1229345700,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1224548000,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1243210700,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1229137800,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1233357600,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1214409000,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1284659800,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1230799100,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1256601200,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1237116400,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1185252800,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1193020600,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1257863200,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1291604900,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1244582000,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1315603900,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1198611800,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1215862000,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1202346000,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1211720600,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1165150800,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1153061900,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1176507900,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1192945700,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1191315800,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1201063100,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1250992400,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1164182500,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1203925300,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1203564900,1000,100000
-1,FFDP,1,61339,4.4103496E7,719.0123,1157542800,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1171363400,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1232732300,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1174840300,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1220632000,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1177902100,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1153574200,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1133821200,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1265008400,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1194868500,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1163613800,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1183009300,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1152891200,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1148864800,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1220248000,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1179732700,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1182354600,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1170019100,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1172708800,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1166743900,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1223891700,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1169706100,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1185005800,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1237695800,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1213671300,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1200845300,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1205992800,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1237105900,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1244992000,1000,100000
-1,FFDP,2,61339,4.4103496E7,719.0123,1257463200,1000,100000
