id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
-1,FFDS,-1,61339,4.4103496E7,719.0123,1760051100,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1291605500,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1360596700,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1249559400,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1300557500,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1280359000,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1337474700,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1270931100,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1305424100,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1332111000,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1309739100,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1333949800,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1265867800,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1296134500,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1302634900,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1338560100,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1309142700,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1305678700,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1341332700,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1309009600,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1302364600,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1306789400,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1440491700,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1305214600,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1280400700,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1290351200,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1288633300,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1331427800,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1353393900,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1346226100,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1331750700,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1368392400,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1451182800,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1471302200,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1338387600,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1363406200,1000,100000
-1,FFDS,-1,61339,4.4103496E7,719.0123,1395386400,1000,100000
