id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
-1,FF,-1,631,286981.0,454.8035,6268800,500,1000
-1,FF,-1,631,286981.0,454.8035,1746200,500,1000
-1,FF,-1,631,286981.0,454.8035,667200,500,1000
-1,FF,-1,631,286981.0,454.8035,539100,500,1000
-1,FF,-1,631,286981.0,454.8035,308200,500,1000
-1,FF,-1,631,286981.0,454.8035,416500,500,1000
-1,FF,-1,631,286981.0,454.8035,295800,500,1000
-1,FF,-1,631,286981.0,454.8035,344600,500,1000
-1,FF,-1,631,286981.0,454.8035,221900,500,1000
-1,FF,-1,631,286981.0,454.8035,300700,500,1000
-1,FF,-1,631,286981.0,454.8035,260100,500,1000
-1,FF,-1,631,286981.0,454.8035,263000,500,1000
-1,FF,-1,631,286981.0,454.8035,317100,500,1000
-1,FF,-1,631,286981.0,454.8035,312700,500,1000
-1,FF,-1,631,286981.0,454.8035,502100,500,1000
-1,FF,-1,631,286981.0,454.8035,361200,500,1000
-1,FF,-1,631,286981.0,454.8035,295800,500,1000
-1,FF,-1,631,286981.0,454.8035,383400,500,1000
-1,FF,-1,631,286981.0,454.8035,264000,500,1000
-1,FF,-1,631,286981.0,454.8035,267300,500,1000
-1,FF,-1,631,286981.0,454.8035,208300,500,1000
-1,FF,-1,631,286981.0,454.8035,292600,500,1000
-1,FF,-1,631,286981.0,454.8035,292700,500,1000
-1,FF,-1,631,286981.0,454.8035,313600,500,1000
-1,FF,-1,631,286981.0,454.8035,262100,500,1000
-1,FF,-1,631,286981.0,454.8035,253000,500,1000
-1,FF,-1,631,286981.0,454.8035,369800,500,1000
-1,FF,-1,631,286981.0,454.8035,318100,500,1000
-1,FF,-1,631,286981.0,454.8035,303000,500,1000
-1,FF,-1,631,286981.0,454.8035,284900,500,1000
-1,FF,-1,631,286981.0,454.8035,341500,500,1000
-1,FF,-1,631,286981.0,454.8035,285800,500,1000
-1,FF,-1,631,286981.0,454.8035,366400,500,1000
-1,FF,-1,631,286981.0,454.8035,4625700,500,1000
-1,FF,-1,631,286981.0,454.8035,469800,500,1000
-1,FF,-1,631,286981.0,454.8035,303900,500,1000
-1,FF,-1,631,286981.0,454.8035,258300,500,1000
-1,FF,-1,631,286981.0,454.8035,314300,500,1000
-1,FF,-1,631,286981.0,454.8035,423300,500,1000
-1,FF,-1,631,286981.0,454.8035,553900,500,1000
-1,FF,-1,631,286981.0,454.8035,297200,500,1000
-1,FF,-1,631,286981.0,454.8035,324300,500,1000
-1,FF,-1,631,286981.0,454.8035,248300,500,1000
-1,FF,-1,631,286981.0,454.8035,244600,500,1000
-1,FF,-1,631,286981.0,454.8035,278500,500,1000
-1,FF,-1,631,286981.0,454.8035,340500,500,1000
-1,FF,-1,631,286981.0,454.8035,275600,500,1000
-1,FF,-1,631,286981.0,454.8035,315600,500,1000
-1,FF,-1,631,286981.0,454.8035,273000,500,1000
-1,FF,-1,631,286981.0,454.8035,284100,500,1000
-1,FF,-1,631,286981.0,454.8035,213000,500,1000
-1,FF,-1,631,286981.0,454.8035,279200,500,1000
-1,FF,-1,631,286981.0,454.8035,252700,500,1000
-1,FF,-1,631,286981.0,454.8035,245800,500,1000
-1,FF,-1,631,286981.0,454.8035,277300,500,1000
-1,FF,-1,631,286981.0,454.8035,253500,500,1000
-1,FF,-1,631,286981.0,454.8035,305300,500,1000
-1,FF,-1,631,286981.0,454.8035,329400,500,1000
-1,FF,-1,631,286981.0,454.8035,362300,500,1000
-1,FF,-1,631,286981.0,454.8035,334300,500,1000
-1,FF,-1,631,286981.0,454.8035,343100,500,1000
-1,FF,-1,631,286981.0,454.8035,319100,500,1000
-1,FF,-1,631,286981.0,454.8035,484400,500,1000
