type,number of bins,total spaces,average waste,time,bin Capacity,number of objects
FF,56039.0,480605.49,8.576268134691912,8344665100,500.0,110000
FFDS,78852.0,1.188710549E7,150.75211142393346,6384830200,500.0,110000
FFDP,78852.0,1.188710549E7,150.75211142393346,3970181400,500.0,110000
FF,56039.0,480605.49,8.576268134691912,3799931600,500.0,110000
FFDS,78852.0,1.188710549E7,150.75211142393346,4089982800,500.0,110000
FFDP,78852.0,1.188710549E7,150.75211142393346,4128616000,500.0,110000
FF,56039.0,480605.49,8.576268134691912,4057732200,500.0,110000
FFDS,78852.0,1.188710549E7,150.75211142393346,4074381600,500.0,110000
FFDP,78852.0,1.188710549E7,150.75211142393346,4209247200,500.0,110000
FF,56039.0,480605.49,8.576268134691912,4758931200,500.0,110000
FFDS,78852.0,1.188710549E7,150.75211142393346,4062615200,500.0,110000
FFDP,78852.0,1.188710549E7,150.75211142393346,4180766100,500.0,110000
FF,56039.0,480605.49,8.576268134691912,3939477600,500.0,110000
FFDS,78852.0,1.188710549E7,150.75211142393346,4104866900,500.0,110000
FFDP,78852.0,1.188710549E7,150.75211142393346,4267312100,500.0,110000
