id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
-1,FFDP,1,748,286981.0,383.66443,64139600,500,1000
-1,FFDP,1,748,286981.0,383.66443,15175100,500,1000
-1,FFDP,1,748,286981.0,383.66443,11184700,500,1000
-1,FFDP,1,748,286981.0,383.66443,16681400,500,1000
-1,FFDP,1,748,286981.0,383.66443,2617700,500,1000
-1,FFDP,1,748,286981.0,383.66443,2844000,500,1000
-1,FFDP,1,748,286981.0,383.66443,2142100,500,1000
-1,FFDP,1,748,286981.0,383.66443,1744900,500,1000
-1,FFDP,1,748,286981.0,383.66443,2251300,500,1000
-1,FFDP,1,748,286981.0,383.66443,1512600,500,1000
-1,FFDP,1,748,286981.0,383.66443,1583300,500,1000
-1,FFDP,1,748,286981.0,383.66443,1804400,500,1000
-1,FFDP,1,748,286981.0,383.66443,1688700,500,1000
-1,FFDP,1,748,286981.0,383.66443,1507100,500,1000
-1,FFDP,1,748,286981.0,383.66443,1797300,500,1000
-1,FFDP,1,748,286981.0,383.66443,1448700,500,1000
-1,FFDP,1,748,286981.0,383.66443,1430600,500,1000
-1,FFDP,1,748,286981.0,383.66443,1121700,500,1000
-1,FFDP,1,748,286981.0,383.66443,1792400,500,1000
-1,FFDP,1,748,286981.0,383.66443,1336400,500,1000
-1,FFDP,1,748,286981.0,383.66443,1321800,500,1000
-1,FFDP,1,748,286981.0,383.66443,1378600,500,1000
-1,FFDP,1,748,286981.0,383.66443,2385900,500,1000
-1,FFDP,1,748,286981.0,383.66443,957000,500,1000
-1,FFDP,1,748,286981.0,383.66443,1461800,500,1000
-1,FFDP,1,748,286981.0,383.66443,1219500,500,1000
-1,FFDP,1,748,286981.0,383.66443,1470200,500,1000
-1,FFDP,1,748,286981.0,383.66443,1172000,500,1000
-1,FFDP,1,748,286981.0,383.66443,1392000,500,1000
-1,FFDP,1,748,286981.0,383.66443,2946500,500,1000
-1,FFDP,2,748,286981.0,383.66443,1695500,500,1000
-1,FFDP,2,748,286981.0,383.66443,1697300,500,1000
-1,FFDP,2,748,286981.0,383.66443,1853400,500,1000
-1,FFDP,2,748,286981.0,383.66443,1568400,500,1000
-1,FFDP,2,748,286981.0,383.66443,1719900,500,1000
-1,FFDP,2,748,286981.0,383.66443,1317900,500,1000
-1,FFDP,2,748,286981.0,383.66443,1515000,500,1000
-1,FFDP,2,748,286981.0,383.66443,1290400,500,1000
-1,FFDP,2,748,286981.0,383.66443,1472600,500,1000
-1,FFDP,2,748,286981.0,383.66443,2061400,500,1000
-1,FFDP,2,748,286981.0,383.66443,1450600,500,1000
-1,FFDP,2,748,286981.0,383.66443,1309500,500,1000
-1,FFDP,2,748,286981.0,383.66443,4480400,500,1000
-1,FFDP,2,748,286981.0,383.66443,8832400,500,1000
-1,FFDP,2,748,286981.0,383.66443,55733100,500,1000
-1,FFDP,2,748,286981.0,383.66443,67602400,500,1000
-1,FFDP,2,748,286981.0,383.66443,20957000,500,1000
-1,FFDP,2,748,286981.0,383.66443,80068600,500,1000
-1,FFDP,2,748,286981.0,383.66443,33494300,500,1000
-1,FFDP,2,748,286981.0,383.66443,3303500,500,1000
-1,FFDP,2,748,286981.0,383.66443,12977500,500,1000
-1,FFDP,2,748,286981.0,383.66443,16120800,500,1000
-1,FFDP,2,748,286981.0,383.66443,1756800,500,1000
-1,FFDP,2,748,286981.0,383.66443,1957300,500,1000
-1,FFDP,2,748,286981.0,383.66443,1295500,500,1000
-1,FFDP,2,748,286981.0,383.66443,1302400,500,1000
-1,FFDP,2,748,286981.0,383.66443,1471600,500,1000
-1,FFDP,2,748,286981.0,383.66443,4244300,500,1000
-1,FFDP,2,748,286981.0,383.66443,2822700,500,1000
-1,FFDP,2,748,286981.0,383.66443,1597400,500,1000
-1,FFDP,3,748,286981.0,383.66443,2037500,500,1000
-1,FFDP,3,748,286981.0,383.66443,1888900,500,1000
-1,FFDP,3,748,286981.0,383.66443,1734200,500,1000
-1,FFDP,3,748,286981.0,383.66443,2031500,500,1000
-1,FFDP,3,748,286981.0,383.66443,4129200,500,1000
-1,FFDP,3,748,286981.0,383.66443,2604500,500,1000
-1,FFDP,3,748,286981.0,383.66443,5105700,500,1000
-1,FFDP,3,748,286981.0,383.66443,3792400,500,1000
-1,FFDP,3,748,286981.0,383.66443,5864800,500,1000
-1,FFDP,3,748,286981.0,383.66443,2215400,500,1000
-1,FFDP,3,748,286981.0,383.66443,4956600,500,1000
-1,FFDP,3,748,286981.0,383.66443,1947200,500,1000
-1,FFDP,3,748,286981.0,383.66443,2329700,500,1000
-1,FFDP,3,748,286981.0,383.66443,2469400,500,1000
-1,FFDP,3,748,286981.0,383.66443,2356600,500,1000
-1,FFDP,3,748,286981.0,383.66443,1944600,500,1000
-1,FFDP,3,748,286981.0,383.66443,2761400,500,1000
-1,FFDP,3,748,286981.0,383.66443,2636200,500,1000
-1,FFDP,3,748,286981.0,383.66443,2219800,500,1000
-1,FFDP,3,748,286981.0,383.66443,3306800,500,1000
-1,FFDP,3,748,286981.0,383.66443,2850200,500,1000
-1,FFDP,3,748,286981.0,383.66443,7957700,500,1000
-1,FFDP,3,748,286981.0,383.66443,3133400,500,1000
-1,FFDP,3,748,286981.0,383.66443,3694400,500,1000
-1,FFDP,3,748,286981.0,383.66443,6475400,500,1000
-1,FFDP,3,748,286981.0,383.66443,7383200,500,1000
-1,FFDP,3,748,286981.0,383.66443,4040800,500,1000
-1,FFDP,3,748,286981.0,383.66443,6794300,500,1000
-1,FFDP,3,748,286981.0,383.66443,3024800,500,1000
-1,FFDP,3,748,286981.0,383.66443,2544700,500,1000
-1,FFDP,4,748,286981.0,383.66443,4353500,500,1000
-1,FFDP,4,748,286981.0,383.66443,9504700,500,1000
-1,FFDP,4,748,286981.0,383.66443,3797100,500,1000
-1,FFDP,4,748,286981.0,383.66443,7515100,500,1000
-1,FFDP,4,748,286981.0,383.66443,5552400,500,1000
-1,FFDP,4,748,286981.0,383.66443,9497200,500,1000
-1,FFDP,4,748,286981.0,383.66443,7809000,500,1000
-1,FFDP,4,748,286981.0,383.66443,12413300,500,1000
-1,FFDP,4,748,286981.0,383.66443,19226100,500,1000
-1,FFDP,4,748,286981.0,383.66443,8142000,500,1000
-1,FFDP,4,748,286981.0,383.66443,9167300,500,1000
-1,FFDP,4,748,286981.0,383.66443,4829400,500,1000
-1,FFDP,4,748,286981.0,383.66443,11092200,500,1000
-1,FFDP,4,748,286981.0,383.66443,21050200,500,1000
-1,FFDP,4,748,286981.0,383.66443,6183900,500,1000
-1,FFDP,4,748,286981.0,383.66443,36984800,500,1000
-1,FFDP,4,748,286981.0,383.66443,33983800,500,1000
-1,FFDP,4,748,286981.0,383.66443,30831300,500,1000
-1,FFDP,4,748,286981.0,383.66443,2847800,500,1000
-1,FFDP,4,748,286981.0,383.66443,4081800,500,1000
-1,FFDP,4,748,286981.0,383.66443,3923800,500,1000
-1,FFDP,4,748,286981.0,383.66443,1649300,500,1000
-1,FFDP,4,748,286981.0,383.66443,5257000,500,1000
-1,FFDP,4,748,286981.0,383.66443,5561300,500,1000
-1,FFDP,4,748,286981.0,383.66443,2620600,500,1000
-1,FFDP,4,748,286981.0,383.66443,2277900,500,1000
-1,FFDP,4,748,286981.0,383.66443,3310700,500,1000
-1,FFDP,4,748,286981.0,383.66443,2601500,500,1000
-1,FFDP,4,748,286981.0,383.66443,3426500,500,1000
-1,FFDP,4,748,286981.0,383.66443,1663700,500,1000
-1,FFDP,5,748,286981.0,383.66443,2168300,500,1000
-1,FFDP,5,748,286981.0,383.66443,2325400,500,1000
-1,FFDP,5,748,286981.0,383.66443,2158500,500,1000
-1,FFDP,5,748,286981.0,383.66443,3135000,500,1000
-1,FFDP,5,748,286981.0,383.66443,2895700,500,1000
-1,FFDP,5,748,286981.0,383.66443,1593300,500,1000
-1,FFDP,5,748,286981.0,383.66443,2728200,500,1000
-1,FFDP,5,748,286981.0,383.66443,1558400,500,1000
-1,FFDP,5,748,286981.0,383.66443,1611100,500,1000
-1,FFDP,5,748,286981.0,383.66443,2081800,500,1000
-1,FFDP,5,748,286981.0,383.66443,1750200,500,1000
-1,FFDP,5,748,286981.0,383.66443,1558200,500,1000
-1,FFDP,5,748,286981.0,383.66443,2162800,500,1000
-1,FFDP,5,748,286981.0,383.66443,2089700,500,1000
-1,FFDP,5,748,286981.0,383.66443,1554900,500,1000
-1,FFDP,5,748,286981.0,383.66443,2351800,500,1000
-1,FFDP,5,748,286981.0,383.66443,4116900,500,1000
-1,FFDP,5,748,286981.0,383.66443,1930500,500,1000
-1,FFDP,5,748,286981.0,383.66443,2455400,500,1000
-1,FFDP,5,748,286981.0,383.66443,1809700,500,1000
-1,FFDP,5,748,286981.0,383.66443,1761700,500,1000
-1,FFDP,5,748,286981.0,383.66443,1626100,500,1000
-1,FFDP,5,748,286981.0,383.66443,1728800,500,1000
-1,FFDP,5,748,286981.0,383.66443,1517800,500,1000
-1,FFDP,5,748,286981.0,383.66443,1726900,500,1000
