id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
-1,FFDS,1,77336,2.7428848E7,354.67114,1383350600,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1214247800,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1272183600,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1273636400,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1272081101,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1279409200,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1364171500,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1262478099,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1289091201,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1269148300,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1267524900,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1275125400,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1287887201,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1311213700,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1281195200,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1284381600,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1328467600,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1279391101,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1269471300,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1277839400,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1328672899,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1349233800,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1294367000,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1291996601,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1289110100,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1265173200,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1268862101,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1270918000,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1273000900,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1307782800,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1278016600,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1267730600,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1277290300,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1277504600,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1266236900,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1273928700,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1309208801,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1266205500,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1285963300,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1276508500,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1265214301,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1292340301,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1283069700,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1303843100,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1278703200,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1291092700,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1324104700,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1273137300,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1264282800,500,110000
-1,FFDS,1,77336,2.7428848E7,354.67114,1272707000,500,110000
