id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
-1,FFDS,-1,748,286981.0,383.66443,7715600,500,1000
-1,FFDS,-1,748,286981.0,383.66443,13161100,500,1000
-1,FFDS,-1,748,286981.0,383.66443,776700,500,1000
-1,FFDS,-1,748,286981.0,383.66443,567000,500,1000
-1,FFDS,-1,748,286981.0,383.66443,432800,500,1000
-1,FFDS,-1,748,286981.0,383.66443,450400,500,1000
-1,FFDS,-1,748,286981.0,383.66443,459700,500,1000
-1,FFDS,-1,748,286981.0,383.66443,478800,500,1000
-1,FFDS,-1,748,286981.0,383.66443,523800,500,1000
-1,FFDS,-1,748,286981.0,383.66443,431700,500,1000
-1,FFDS,-1,748,286981.0,383.66443,461600,500,1000
-1,FFDS,-1,748,286981.0,383.66443,828200,500,1000
-1,FFDS,-1,748,286981.0,383.66443,360800,500,1000
-1,FFDS,-1,748,286981.0,383.66443,456200,500,1000
-1,FFDS,-1,748,286981.0,383.66443,295500,500,1000
-1,FFDS,-1,748,286981.0,383.66443,449400,500,1000
-1,FFDS,-1,748,286981.0,383.66443,329600,500,1000
-1,FFDS,-1,748,286981.0,383.66443,410100,500,1000
-1,FFDS,-1,748,286981.0,383.66443,766500,500,1000
-1,FFDS,-1,748,286981.0,383.66443,310400,500,1000
-1,FFDS,-1,748,286981.0,383.66443,329200,500,1000
-1,FFDS,-1,748,286981.0,383.66443,331700,500,1000
-1,FFDS,-1,748,286981.0,383.66443,311400,500,1000
-1,FFDS,-1,748,286981.0,383.66443,413400,500,1000
-1,FFDS,-1,748,286981.0,383.66443,270200,500,1000
-1,FFDS,-1,748,286981.0,383.66443,329300,500,1000
-1,FFDS,-1,748,286981.0,383.66443,374400,500,1000
-1,FFDS,-1,748,286981.0,383.66443,2683700,500,1000
-1,FFDS,-1,748,286981.0,383.66443,670100,500,1000
-1,FFDS,-1,748,286981.0,383.66443,554200,500,1000
-1,FFDS,-1,748,286981.0,383.66443,665400,500,1000
-1,FFDS,-1,748,286981.0,383.66443,689500,500,1000
-1,FFDS,-1,748,286981.0,383.66443,573800,500,1000
-1,FFDS,-1,748,286981.0,383.66443,595100,500,1000
-1,FFDS,-1,748,286981.0,383.66443,496300,500,1000
-1,FFDS,-1,748,286981.0,383.66443,468200,500,1000
-1,FFDS,-1,748,286981.0,383.66443,347200,500,1000
-1,FFDS,-1,748,286981.0,383.66443,357600,500,1000
-1,FFDS,-1,748,286981.0,383.66443,401400,500,1000
-1,FFDS,-1,748,286981.0,383.66443,366200,500,1000
-1,FFDS,-1,748,286981.0,383.66443,349500,500,1000
-1,FFDS,-1,748,286981.0,383.66443,699700,500,1000
-1,FFDS,-1,748,286981.0,383.66443,692700,500,1000
-1,FFDS,-1,748,286981.0,383.66443,392900,500,1000
-1,FFDS,-1,748,286981.0,383.66443,420800,500,1000
