id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
-1,FF,1,55536,2.7429872E7,493.91156,1285550099,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1113879800,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1163550700,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1161716900,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1159235100,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1164042601,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1161117301,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1159400501,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1155689900,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1158145400,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1165149600,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1191686000,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1162835100,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1155162000,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1154437000,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1169234300,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1156218600,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1225361000,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1153753601,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1169015300,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1162471100,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1162589900,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1172350599,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1158151000,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1168121300,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1155604799,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1151309001,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1153706799,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1149267801,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1163216400,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1153828600,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1167757300,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1177178699,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1165045700,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1170125799,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1153228700,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1152446900,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1164366500,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1178267300,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1206023300,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1165195800,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1164592401,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1172666100,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1157895499,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1168537600,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1177141001,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1177150700,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1181869000,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1188287900,500,110000
-1,FF,1,55536,2.7429872E7,493.91156,1148603501,500,110000
