id,type,no. of threads,number of bins,total spaces,average waste,time,bin Capacity,number of objects
-1,FF,-1,45380,4.4103888E7,971.8794,1874472300,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1327209700,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1292856000,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1338143900,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1365857800,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1323550700,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1328280100,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1378695700,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1372109500,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1305579400,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1360522600,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1280969200,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1427215200,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1555759400,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1335290700,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1440334300,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1407876800,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1390142600,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1465552300,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1326216300,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1345976700,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1311289200,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1452157100,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1390416600,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1406573900,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1295941300,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1413000500,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1295424700,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1422445800,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1397833800,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1281993000,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1397073500,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1317041500,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1442233000,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1361698000,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1321505600,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1415576200,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1360124100,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1380571200,1000,100000
-1,FF,-1,45380,4.4103888E7,971.8794,1278209500,1000,100000
